county_fips,county_name,annual_living_wage
04013,"Maricopa County, AZ",53433
06001,"Alameda County, CA",62122
06037,"Los Angeles County, CA",57346
06073,"San Diego County, CA",61393
06083,"Santa Barbara County, CA",66793
06085,"Santa Clara County, CA",68624
06087,"Santa Cruz County, CA",76215
08013,"Boulder County, CO",54452
09009,"New Haven County, CT",52660
11001,District of Columbia,60840
12001,"Alachua County, FL",41675
13121,"Fulton County, GA",54296
17019,"Champaign County, IL",41500
17031,"Cook County, IL",50260
18141,"St. Joseph County, IN",39773
18157,"Tippecanoe County, IN",40707
20161,"Riley County, KS",44627
24033,"Prince George's County, MD",54391
24510,"Baltimore City, MD",43997
25015,"Hampshire County, MA",47681
25017,"Middlesex County, MA",62487
25025,"Suffolk County, MA",62487
26065,"Ingham County, MI",41123
26161,"Washtenaw County, MI",47334
27053,"Hennepin County, MN",51023
29189,"St. Louis County, MO",43898
34013,"Essex County, NJ",51866
34017,"Hudson County, NJ",55862
34021,"Mercer County, NJ",51451
36029,"Erie County, NY",43669
36047,"Kings County, NY",61817
36055,"Monroe County, NY",44933
36061,"New York County, NY",58320
36103,"Suffolk County, NY",59557
36109,"Tompkins County, NY",51249
37063,"Durham County, NC",48596
37135,"Orange County, NC",48596
37183,"Wake County, NC",48596
39049,"Franklin County, OH",43139
41039,"Lane County, OR",47680
42003,"Allegheny County, PA",43957
42027,"Centre County, PA",48155
42095,"Northampton County, PA",45878
42101,"Philadelphia County, PA",48554
44007,"Providence County, RI",42270
47037,"Davidson County, TN",51243
47093,"Knox County, TN",46520
48041,"Brazos County, TX",40172
48113,"Dallas County, TX",47381
48201,"Harris County, TX",43327
48453,"Travis County, TX",49878
49035,"Salt Lake County, UT",47160
51540,"Charlottesville City, VA",50523
51830,"Williamsburg City, VA",49916
53033,"King County, WA",59695
55025,"Dane County, WI",44480
